,Company_Name,ISIN,segment1,Type_Issue1,Sector,Total_No_Securities,Fresh_No_Securities,OFS_No_Securities,Issue_Open_Date,Issue_Close_Date,Times_subscribed,Face_Value,Premimum,Issue_Price,Issue_Size,Listing_Date,Anchor,QIB,Final_QIB,NII,RII,Market_Maker,Shareholder,Employee,Policy_Holders,Underwriter,Promoters_Contribution,Reservation_Portion,Net offer to public,State,Region,6(1) / (2),Industry,Segment,state_code,State1,Region1,Exchange,Designated_Exchange,Issue_Size_Bucket
69,PTC Industries Ltd,,Main Board,Right,Private,7858594,7858594,0.0,2022-08-03,2022-08-12,-,10.0,0.0,10.0,7.85,2022-08-29,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,uttar pradesh,Northern,,Engineering,,utt,Uttarakhand,Northern,BSE,BSE,≥ 5crore - < 10crore
70,NATURO INDIABULL LIMITED,,SME,IPO,Private,3640000,3640000,0.0,2022-08-22,2022-08-24,19.24,10.0,20.0,30.0,10.92,2022-09-02,0,0.0,0,768000,2688000,184000,0.0,0.0,0.0,0.0,0,184000,3456000,rajasthan,Western,,Misc,,raj,Rajasthan,Western,BSE,BSE,≥ 10crore - < 50crore
71,Rhetan TMT Limited,,SME,IPO,Private,8000000,8000000,0.0,2022-08-22,2022-08-25,1.4,10.0,60.0,70.0,56.0,2022-09-05,0,0.0,0,6096000,1488000,416000,0.0,0.0,0.0,0.0,0,416000,7584000,gujarat,Western,,Misc,,guj,Gujarat,Western,BSE,BSE,≥ 50 crore - < 100crore
72,Dreamfolks Services Limited,,Main Board,IPO,Private,17242368,0,17242368.0,2022-08-24,2022-08-26,56.68,2.0,324.0,326.0,562.1011968,2022-09-06,7759066,5172711.0,12931777,2586355,1724236,0,0.0,0.0,0.0,0.0,0,0,17242368,delhi,Northern,6(2),Finance,,del,Delhi,Northern,NSE/BSE,BSE,≥ 500crore
73,Gennex Laboratories Ltd,,Main Board,Right,Private,52506534,52506534,0.0,2022-08-05,2022-08-19,-,1.0,5.0,6.0,31.5039204,2022-09-06,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,telangana,Southern,,Healthcare,,tel,Telangana,Southern,BSE,BSE,≥ 10crore - < 50crore
74,Ameya Precision Engineers Limited,,SME,IPO,Private,2100000,1500000,600000.0,2022-08-25,2022-08-30,241.81,10.0,24.0,34.0,7.14,2022-09-08,0,0.0,0,996000,996000,108000,0.0,0.0,0.0,0.0,0,108000,1992000,maharashtra,Western,,Engineering,,mah,Maharashtra,Western,NSE,NSE,≥ 5crore - < 10crore
75,Jay Jalaram Technologies Limited,,SME,IPO,Private,3000000,3000000,0.0,2022-08-26,2022-08-30,14.22,10.0,26.0,36.0,10.8,2022-09-08,0,0.0,0,1425000,1425000,150000,0.0,0.0,0.0,0.0,0,150000,2850000,gujarat,Western,,Electronic Equipments/ Products ,,guj,Gujarat,Western,NSE,NSE,≥ 10crore - < 50crore
76,Jfl Life Sciences Limited,,SME,IPO,Private,2978000,2978000,0.0,2022-08-25,2022-08-30,8.6085,10.0,51.0,61.0,18.1658,2022-09-08,0,0.0,0,772000,2056000,150000,0.0,0.0,0.0,0.0,0,150000,2828000,gujarat,Western,,Healthcare,,guj,Gujarat,Western,NSE,NSE,≥ 10crore - < 50crore
77,DIPNA PHARMACHEM LIMITED,,SME,IPO,Private,4002000,4002000,0.0,2022-08-25,2022-08-30,2.62,10.0,28.0,38.0,15.2076,2022-09-08,0,0.0,0,3327000,471000,204000,0.0,0.0,0.0,0.0,0,204000,3798000,gujarat,Western,,Healthcare,,guj,Gujarat,Western,BSE,BSE,≥ 10crore - < 50crore
78,Maharashtra Corporation Ltd.,,Main Board,Right,Private,496222210,496222210,0.0,2022-07-19,2022-08-02,-,1.0,0.0,1.0,49.622221,2022-09-08,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,maharashtra,Western,,Misc,,mah,Maharashtra,Western,BSE,BSE,≥ 10crore - < 50crore
79,EP BIOCOMPOSITES LIMITED,,SME,IPO,Private,504000,504000,0.0,2022-08-29,2022-09-05,17.48,10.0,116.0,126.0,6.3504,2022-09-13,0,0.0,0,238000,238000,28000,0.0,0.0,0.0,0.0,0,28000,476000,goa,Western,,Misc,,goa,Goa,Western,BSE,BSE,≥ 5crore - < 10crore
